device_id,anomaly_score,mfa,vpn,firewall
EdgeCam_4,0.524,0,0,0
EdgeCam_5,0.359,1,1,1
EdgeCam_3,0.008,1,0,0
EdgeCam_5,0.32,1,0,0
EdgeCam_1,0.917,1,1,1
EdgeCam_4,0.947,1,1,0
EdgeCam_1,0.524,1,0,1
EdgeCam_4,0.865,1,1,1
EdgeCam_5,0.441,1,1,0
EdgeCam_3,0.394,1,1,0
EdgeCam_1,0.412,1,1,1
EdgeCam_5,0.648,0,1,1
EdgeCam_4,0.836,1,0,0
EdgeCam_2,0.684,0,0,1
EdgeCam_1,0.121,1,0,1
EdgeCam_2,0.396,0,0,0
EdgeCam_5,0.849,1,0,0
EdgeCam_1,0.474,0,1,1
EdgeCam_3,0.968,1,1,1
EdgeCam_1,0.684,0,0,0
EdgeCam_1,0.405,1,0,0
EdgeCam_1,0.465,1,1,0
EdgeCam_5,0.047,0,0,1
EdgeCam_1,0.591,0,0,1
EdgeCam_2,0.517,0,1,0
EdgeCam_1,0.134,0,1,0
EdgeCam_5,0.853,0,1,1
EdgeCam_1,0.243,0,0,1
EdgeCam_4,0.418,0,1,0
EdgeCam_1,0.784,1,1,0
EdgeCam_1,0.263,1,1,1
EdgeCam_2,0.915,0,0,0
EdgeCam_1,0.763,1,0,0
EdgeCam_2,0.567,0,0,1
EdgeCam_2,0.763,1,0,1
EdgeCam_3,0.152,1,1,1
EdgeCam_4,0.881,0,0,0
EdgeCam_3,0.081,0,0,1
EdgeCam_1,0.994,1,1,1
EdgeCam_2,0.854,0,0,1
EdgeCam_3,0.015,0,1,0
EdgeCam_5,0.171,0,1,1
EdgeCam_5,0.349,1,1,0
EdgeCam_5,0.668,0,1,1
EdgeCam_2,0.154,0,0,0
EdgeCam_1,0.145,1,1,1
EdgeCam_3,0.845,0,1,0
EdgeCam_3,0.343,0,0,1
EdgeCam_3,0.445,1,1,1
EdgeCam_4,0.967,1,0,1
EdgeCam_2,0.945,1,0,1
EdgeCam_3,0.611,0,0,0
EdgeCam_1,0.919,0,1,0
EdgeCam_4,0.758,1,0,1
EdgeCam_4,0.383,1,0,1
EdgeCam_3,0.788,0,0,0
EdgeCam_3,0.193,1,1,0
EdgeCam_4,0.944,1,1,0
EdgeCam_3,0.931,0,1,1
EdgeCam_2,0.232,1,1,1
EdgeCam_5,0.348,1,1,0
EdgeCam_1,0.908,1,0,0
EdgeCam_2,0.573,1,1,0
EdgeCam_5,0.341,1,1,0
EdgeCam_3,0.813,1,1,1
EdgeCam_3,0.264,1,1,1
EdgeCam_5,0.489,0,0,1
EdgeCam_4,0.18,1,0,0
EdgeCam_3,0.404,1,1,1
EdgeCam_4,0.494,0,1,0
EdgeCam_5,0.355,1,1,0
EdgeCam_2,0.341,1,0,1
EdgeCam_2,0.903,1,0,1
EdgeCam_1,0.277,1,0,0
EdgeCam_3,0.45,1,1,1
EdgeCam_1,0.556,0,0,0
EdgeCam_1,0.671,0,1,0
EdgeCam_5,0.849,0,1,0
EdgeCam_1,0.676,0,1,1
EdgeCam_1,0.434,0,1,0
EdgeCam_3,0.106,1,0,1
EdgeCam_2,0.417,0,0,1
EdgeCam_5,0.471,1,0,1
EdgeCam_3,0.093,1,0,1
EdgeCam_3,0.29,0,1,1
EdgeCam_3,0.7,0,0,0
EdgeCam_4,0.062,1,0,1
EdgeCam_4,0.918,1,0,1
EdgeCam_1,0.947,0,1,0
EdgeCam_3,0.399,0,0,1
EdgeCam_5,0.679,0,0,0
EdgeCam_4,0.879,0,1,0
EdgeCam_3,0.232,0,0,1
EdgeCam_5,0.632,1,0,1
EdgeCam_3,0.927,1,0,0
EdgeCam_1,0.392,0,0,1
EdgeCam_4,0.887,1,1,1
EdgeCam_1,0.171,0,1,0
EdgeCam_1,0.113,0,0,1
EdgeCam_4,0.863,0,0,1
EdgeCam_3,0.819,1,1,1
EdgeCam_3,0.191,1,1,0
EdgeCam_3,0.535,1,1,0
EdgeCam_3,0.825,0,0,1
EdgeCam_3,0.882,1,1,0
EdgeCam_3,0.108,0,1,1
EdgeCam_1,0.967,1,1,1
EdgeCam_4,0.506,0,0,0
EdgeCam_4,0.99,0,1,1
EdgeCam_3,0.312,1,1,0
EdgeCam_3,0.488,0,0,0
EdgeCam_2,0.143,1,1,0
EdgeCam_3,0.681,0,1,1
EdgeCam_2,0.908,1,0,0
EdgeCam_3,0.145,1,1,0
EdgeCam_2,0.21,0,1,1
EdgeCam_2,0.744,1,1,0
EdgeCam_2,0.11,0,1,1
EdgeCam_4,0.198,1,1,1
EdgeCam_5,0.578,0,0,0
EdgeCam_5,0.646,1,1,1
EdgeCam_5,0.388,1,1,1
EdgeCam_3,0.128,1,0,0
EdgeCam_4,0.613,0,0,1
EdgeCam_3,0.624,0,0,1
EdgeCam_2,0.347,1,1,0
EdgeCam_2,0.703,0,1,1
EdgeCam_1,0.744,1,1,1
EdgeCam_1,0.283,1,0,0
EdgeCam_3,0.285,1,0,1
EdgeCam_1,0.436,1,0,0
EdgeCam_1,0.415,0,0,0
EdgeCam_5,0.626,1,1,0
EdgeCam_3,0.136,0,0,1
EdgeCam_4,0.628,1,0,0
EdgeCam_2,0.978,1,1,0
EdgeCam_1,0.342,0,0,0
EdgeCam_2,0.362,0,0,1
EdgeCam_4,0.543,0,1,1
EdgeCam_4,0.389,0,1,1
EdgeCam_5,0.541,0,0,1
EdgeCam_2,0.507,1,1,1
EdgeCam_2,0.689,0,1,1
EdgeCam_1,0.554,1,0,0
EdgeCam_1,0.837,0,1,0
EdgeCam_1,0.069,0,0,0
EdgeCam_3,0.933,0,0,1
EdgeCam_2,0.162,1,0,1
EdgeCam_4,0.872,1,0,0
EdgeCam_3,0.519,1,1,0
EdgeCam_5,0.979,0,0,1
EdgeCam_1,0.454,0,0,0
EdgeCam_4,0.837,0,1,0
EdgeCam_2,0.562,0,0,0
EdgeCam_2,0.721,0,0,1
EdgeCam_2,0.736,0,0,0
EdgeCam_5,0.536,1,0,1
EdgeCam_5,0.004,0,0,1
EdgeCam_1,0.334,1,0,1
EdgeCam_2,0.759,0,0,0
EdgeCam_3,0.368,1,1,0
EdgeCam_4,0.954,0,1,0
EdgeCam_1,0.506,1,1,1
EdgeCam_4,0.08,0,0,0
EdgeCam_2,0.172,0,0,1
EdgeCam_5,0.071,0,1,0
EdgeCam_4,0.931,1,0,1
EdgeCam_1,0.263,1,1,0
EdgeCam_4,0.359,1,0,1
EdgeCam_1,0.75,0,1,0
EdgeCam_2,0.606,1,0,0
EdgeCam_4,0.428,0,1,0
EdgeCam_1,0.394,1,1,0
EdgeCam_2,0.016,0,0,1
EdgeCam_5,0.45,0,1,0
EdgeCam_1,0.09,0,1,1
EdgeCam_5,0.515,0,0,0
EdgeCam_1,0.259,1,1,0
EdgeCam_4,0.974,1,1,1
EdgeCam_1,0.074,0,1,1
EdgeCam_5,0.759,1,1,0
EdgeCam_3,0.719,0,1,1
EdgeCam_2,0.835,1,1,1
EdgeCam_4,0.932,1,1,1
EdgeCam_2,0.563,0,0,1
EdgeCam_2,0.075,1,1,0
EdgeCam_2,0.308,0,1,0
EdgeCam_4,0.674,1,0,1
EdgeCam_2,0.628,0,0,0
EdgeCam_4,0.241,1,1,1
EdgeCam_2,0.511,0,0,0
EdgeCam_1,0.863,0,0,1
EdgeCam_2,0.093,0,0,0
EdgeCam_2,0.778,0,1,1
EdgeCam_5,0.076,1,1,0
EdgeCam_2,0.175,1,1,0
EdgeCam_3,0.462,1,1,1
EdgeCam_3,0.731,0,1,0
EdgeCam_2,0.055,1,0,1
EdgeCam_5,0.007,0,1,1
EdgeCam_2,0.697,0,1,1
EdgeCam_1,0.589,1,0,0
EdgeCam_2,0.228,1,1,0
EdgeCam_2,0.906,1,1,1
EdgeCam_5,0.486,0,1,0
EdgeCam_1,0.27,1,1,0
EdgeCam_2,0.753,0,1,0
EdgeCam_3,0.165,1,1,0
EdgeCam_3,0.239,0,1,0
EdgeCam_1,0.408,1,0,0
EdgeCam_1,0.585,1,1,0
EdgeCam_2,0.608,0,1,0
EdgeCam_2,0.022,1,0,0
EdgeCam_3,0.257,0,1,0
EdgeCam_4,0.815,1,0,0
EdgeCam_2,0.814,1,1,0
EdgeCam_3,0.8,0,1,0
EdgeCam_1,0.995,1,1,0
EdgeCam_5,0.917,0,0,0
EdgeCam_2,0.183,0,0,0
EdgeCam_3,0.262,1,0,1
EdgeCam_1,0.554,1,0,0
EdgeCam_1,0.91,0,1,1
EdgeCam_4,0.959,1,0,1
EdgeCam_4,0.542,0,0,0
EdgeCam_3,0.357,0,0,0
EdgeCam_2,0.572,0,0,0
EdgeCam_5,0.551,0,1,1
EdgeCam_4,0.132,0,0,0
EdgeCam_5,0.709,1,0,0
EdgeCam_1,0.9,0,1,0
EdgeCam_1,0.164,1,0,0
EdgeCam_2,0.795,1,1,1
EdgeCam_3,0.198,1,1,0
EdgeCam_4,0.575,0,1,0
EdgeCam_3,0.452,1,1,1
EdgeCam_3,0.624,1,0,1
EdgeCam_5,0.983,0,1,0
EdgeCam_1,0.883,1,1,0
EdgeCam_1,0.921,1,0,1
EdgeCam_5,0.147,0,1,1
EdgeCam_4,0.349,0,1,0
EdgeCam_3,0.474,1,1,0
EdgeCam_3,0.627,1,1,0
EdgeCam_2,0.88,1,0,0
EdgeCam_2,0.868,1,1,0
EdgeCam_5,0.43,1,1,0
EdgeCam_3,0.835,0,1,1
EdgeCam_5,0.829,1,1,0
EdgeCam_5,0.055,0,0,1
EdgeCam_5,0.12,1,1,1
EdgeCam_3,0.418,1,0,1
EdgeCam_1,0.387,1,1,0
EdgeCam_3,0.658,1,1,0
EdgeCam_5,0.349,1,1,1
EdgeCam_4,0.177,0,0,1
EdgeCam_3,0.163,0,1,1
EdgeCam_1,0.007,0,0,1
EdgeCam_5,0.162,1,0,1
EdgeCam_3,0.781,0,0,1
EdgeCam_2,0.632,1,0,1
EdgeCam_4,0.661,0,1,0
EdgeCam_3,0.877,0,1,0
EdgeCam_1,0.619,1,1,1
EdgeCam_1,0.689,0,1,1
EdgeCam_1,0.278,1,1,1
EdgeCam_2,0.216,0,0,1
EdgeCam_4,0.564,0,1,1
EdgeCam_3,0.982,1,0,0
EdgeCam_5,0.372,1,1,1
EdgeCam_5,0.684,1,1,0
EdgeCam_2,0.22,1,1,0
EdgeCam_2,0.643,1,0,1
EdgeCam_2,0.607,1,1,1
EdgeCam_5,0.792,0,1,0
EdgeCam_4,0.616,0,1,1
EdgeCam_5,0.04,1,1,1
EdgeCam_4,0.572,0,1,1
EdgeCam_1,0.912,0,1,1
EdgeCam_4,0.894,1,0,0
EdgeCam_4,0.36,1,0,0
EdgeCam_1,0.631,0,1,1
EdgeCam_1,0.533,0,0,1
EdgeCam_5,0.084,1,0,1
EdgeCam_3,0.896,1,0,0
EdgeCam_3,0.135,0,0,0
EdgeCam_4,0.871,1,0,0
EdgeCam_4,0.538,1,1,1
EdgeCam_2,0.249,0,0,0
EdgeCam_1,0.985,1,1,0
EdgeCam_2,0.933,0,0,1
EdgeCam_4,0.224,1,0,0
EdgeCam_1,0.55,1,0,0
EdgeCam_3,0.437,0,0,0
EdgeCam_1,0.285,1,1,0
EdgeCam_2,0.193,0,0,1
EdgeCam_1,0.395,1,0,0
EdgeCam_2,0.68,1,0,1
EdgeCam_3,0.331,0,1,0
EdgeCam_3,0.677,0,0,1
EdgeCam_1,0.433,1,0,1
EdgeCam_3,0.109,1,0,0
EdgeCam_2,0.04,1,1,0
EdgeCam_4,0.3,1,1,1
EdgeCam_3,0.974,1,1,0
EdgeCam_5,0.028,0,1,1
EdgeCam_1,0.659,1,0,0
EdgeCam_2,0.523,1,1,0
EdgeCam_4,0.064,0,1,0
EdgeCam_1,0.111,0,0,0
EdgeCam_1,0.857,1,1,1
EdgeCam_3,0.145,1,1,0
EdgeCam_5,0.881,0,0,0
EdgeCam_2,0.433,0,0,1
EdgeCam_5,0.533,0,0,1
EdgeCam_4,0.628,1,0,1
EdgeCam_1,0.476,1,0,0
EdgeCam_2,0.296,0,0,1
EdgeCam_4,0.746,1,1,1
EdgeCam_5,0.164,1,1,1
EdgeCam_4,0.817,0,0,0
EdgeCam_2,0.961,1,0,0
EdgeCam_5,0.034,1,0,1
EdgeCam_5,0.389,0,0,0
EdgeCam_3,0.712,0,0,1
EdgeCam_3,0.969,0,1,0
EdgeCam_4,0.119,0,0,0
EdgeCam_2,0.571,0,1,1
EdgeCam_4,0.858,1,1,0
EdgeCam_2,0.136,1,0,1
EdgeCam_5,0.475,1,1,1
EdgeCam_4,0.258,1,0,1
EdgeCam_1,0.087,0,1,1
EdgeCam_3,0.1,0,1,1
EdgeCam_4,0.119,1,1,0
EdgeCam_4,0.659,1,1,1
EdgeCam_3,0.997,0,1,1
EdgeCam_2,0.439,1,0,0
EdgeCam_5,0.884,1,0,1
EdgeCam_2,0.365,0,0,0
EdgeCam_2,0.192,1,1,1
EdgeCam_5,0.554,1,1,0
EdgeCam_5,0.507,0,1,0
EdgeCam_4,0.913,1,0,1
EdgeCam_2,0.83,0,0,1
EdgeCam_3,0.804,0,1,1
EdgeCam_5,0.352,1,0,0
EdgeCam_3,0.395,1,1,0
EdgeCam_5,0.675,0,0,1
EdgeCam_2,0.297,1,0,1
EdgeCam_4,0.796,0,0,0
EdgeCam_1,0.353,0,0,0
EdgeCam_5,0.957,0,0,0
EdgeCam_2,0.224,0,1,0
EdgeCam_3,0.786,0,1,1
EdgeCam_4,0.454,1,0,1
EdgeCam_3,0.296,0,0,1
EdgeCam_5,0.289,1,1,0
EdgeCam_5,0.872,1,0,1
EdgeCam_3,0.228,0,1,1
EdgeCam_5,0.601,1,0,0
EdgeCam_5,0.625,1,1,0
EdgeCam_5,0.652,0,0,1
EdgeCam_2,0.599,1,1,1
EdgeCam_3,0.308,0,1,0
EdgeCam_4,0.458,1,1,0
EdgeCam_5,0.158,0,0,1
EdgeCam_1,0.352,0,0,1
EdgeCam_5,0.732,1,0,0
EdgeCam_5,0.342,1,0,0
EdgeCam_1,0.427,1,0,1
EdgeCam_1,0.016,1,0,0
EdgeCam_1,0.037,0,0,0
EdgeCam_1,0.159,0,1,1
EdgeCam_1,0.868,1,0,1
EdgeCam_5,0.036,0,0,0
EdgeCam_1,0.031,0,1,1
EdgeCam_4,0.723,0,1,0
EdgeCam_2,0.578,1,0,0
EdgeCam_1,0.442,1,1,0
EdgeCam_4,0.545,0,0,0
EdgeCam_4,0.423,1,1,0
EdgeCam_3,0.793,1,1,0
EdgeCam_4,0.394,1,1,1
EdgeCam_2,0.963,0,1,0
EdgeCam_4,0.426,1,1,0
EdgeCam_5,0.926,0,1,0
EdgeCam_2,0.22,1,0,1
EdgeCam_2,0.061,1,1,1
EdgeCam_4,0.774,1,0,1
EdgeCam_1,0.504,1,0,1
EdgeCam_5,0.148,0,1,1
EdgeCam_5,0.703,0,1,0
EdgeCam_2,0.676,1,1,1
EdgeCam_5,0.946,1,1,1
EdgeCam_1,0.006,0,0,1
EdgeCam_4,0.36,1,1,0
EdgeCam_1,0.65,0,1,1
EdgeCam_5,0.445,1,0,0
EdgeCam_1,0.992,1,1,1
EdgeCam_2,0.521,1,1,0
EdgeCam_1,0.459,1,0,1
EdgeCam_5,0.815,1,1,0
EdgeCam_4,0.572,1,0,1
EdgeCam_4,0.625,0,1,0
EdgeCam_5,0.094,1,0,0
EdgeCam_1,0.976,1,1,1
EdgeCam_2,0.015,1,0,1
EdgeCam_1,0.988,0,1,0
EdgeCam_3,0.702,1,1,0
EdgeCam_5,0.154,0,1,1
EdgeCam_4,0.838,1,1,0
EdgeCam_3,0.226,0,0,1
EdgeCam_3,0.683,0,0,0
EdgeCam_2,0.714,1,0,0
EdgeCam_5,0.021,1,1,1
EdgeCam_4,0.681,0,0,0
EdgeCam_2,0.271,0,1,0
EdgeCam_1,0.862,0,0,0
EdgeCam_3,0.278,0,0,1
EdgeCam_3,0.528,0,0,1
EdgeCam_4,0.65,1,0,1
EdgeCam_2,0.441,0,1,1
EdgeCam_3,0.402,1,0,1
EdgeCam_3,0.222,1,0,1
EdgeCam_3,0.84,0,0,0
EdgeCam_3,0.838,1,0,1
EdgeCam_1,0.979,1,1,1
EdgeCam_2,0.917,1,1,1
EdgeCam_1,0.181,0,0,1
EdgeCam_2,0.032,1,0,1
EdgeCam_3,0.111,0,0,1
EdgeCam_2,0.46,0,0,0
EdgeCam_4,0.192,1,1,0
EdgeCam_4,0.318,1,0,0
EdgeCam_4,0.046,1,1,1
EdgeCam_1,0.103,1,0,1
EdgeCam_4,0.164,0,0,1
EdgeCam_3,0.092,1,0,1
EdgeCam_1,0.135,1,0,0
EdgeCam_3,0.501,0,0,0
EdgeCam_4,0.936,0,1,1
EdgeCam_3,0.419,1,0,1
EdgeCam_4,0.275,1,1,0
EdgeCam_5,0.84,1,1,0
EdgeCam_4,0.306,0,0,1
EdgeCam_4,0.816,1,0,0
EdgeCam_4,0.568,1,1,0
EdgeCam_4,0.793,1,0,0
EdgeCam_3,0.741,0,1,1
EdgeCam_3,0.48,1,0,1
EdgeCam_2,0.742,0,1,1
EdgeCam_1,0.66,1,1,1
EdgeCam_3,0.109,1,0,1
EdgeCam_1,0.913,1,0,1
EdgeCam_3,0.521,1,1,1
EdgeCam_4,0.948,0,0,1
EdgeCam_2,0.69,1,1,0
EdgeCam_2,0.372,0,1,1
EdgeCam_1,0.703,0,0,1
EdgeCam_3,0.314,1,1,1
EdgeCam_1,0.463,1,1,1
EdgeCam_3,0.393,0,0,1
EdgeCam_4,0.387,0,1,1
EdgeCam_1,0.284,1,1,0
EdgeCam_4,0.321,0,0,0
EdgeCam_5,0.102,0,0,1
EdgeCam_3,0.421,0,1,1
EdgeCam_2,0.406,0,0,1
EdgeCam_2,0.896,0,0,0
EdgeCam_1,0.084,0,0,1
EdgeCam_2,0.527,0,0,1
EdgeCam_1,0.13,1,1,0
EdgeCam_2,0.914,1,0,0
EdgeCam_2,0.551,0,1,0
EdgeCam_2,0.736,0,1,0
EdgeCam_2,0.401,0,0,0
EdgeCam_2,0.716,1,0,0
EdgeCam_5,0.786,1,1,1
EdgeCam_2,0.609,0,1,1
EdgeCam_1,0.492,1,1,1
EdgeCam_4,0.093,0,1,1
EdgeCam_3,0.893,0,0,0
EdgeCam_2,0.368,0,0,1
EdgeCam_3,0.204,1,1,0
EdgeCam_5,0.817,1,0,1
EdgeCam_3,0.427,1,0,1
EdgeCam_2,0.453,0,0,0
EdgeCam_4,0.394,0,1,1
EdgeCam_1,0.814,0,1,0
EdgeCam_2,0.422,0,1,0
EdgeCam_2,0.552,1,1,1
EdgeCam_1,0.955,1,0,0
EdgeCam_3,0.865,1,1,1
EdgeCam_5,0.215,0,0,0
EdgeCam_4,0.411,0,0,0
EdgeCam_2,0.652,1,0,1
EdgeCam_2,0.108,0,0,0
EdgeCam_3,0.286,0,1,0
EdgeCam_2,0.983,1,0,1
EdgeCam_5,0.061,1,1,1
EdgeCam_4,0.675,1,0,1
EdgeCam_2,0.006,1,0,0
EdgeCam_5,0.662,0,0,0
EdgeCam_1,0.153,1,1,1
EdgeCam_5,0.647,1,0,1
EdgeCam_3,0.874,1,0,0
EdgeCam_2,0.2,1,1,0
EdgeCam_1,0.193,1,0,0
EdgeCam_3,0.572,1,1,1
EdgeCam_1,0.674,1,1,1
EdgeCam_3,0.657,0,0,1
EdgeCam_1,0.511,0,1,1
EdgeCam_2,0.364,0,1,0
EdgeCam_3,0.695,0,1,0
EdgeCam_2,0.64,0,0,0
EdgeCam_2,0.169,1,0,1
EdgeCam_5,0.054,0,0,0
EdgeCam_2,0.532,0,1,0
EdgeCam_2,0.957,1,0,0
EdgeCam_3,0.785,1,0,0
EdgeCam_5,0.173,1,1,1
EdgeCam_5,0.906,1,1,0
EdgeCam_2,0.84,0,0,0
EdgeCam_3,0.162,1,1,1
EdgeCam_2,0.887,1,1,0
EdgeCam_2,0.706,0,0,0
EdgeCam_1,0.562,0,0,1
EdgeCam_1,0.826,0,0,0
EdgeCam_2,0.072,0,1,1
EdgeCam_5,0.097,0,1,0
EdgeCam_5,0.794,1,0,0
EdgeCam_4,0.569,1,1,1
EdgeCam_4,0.065,1,0,1
EdgeCam_3,0.759,1,1,1
EdgeCam_3,0.667,1,0,1
EdgeCam_1,0.547,1,0,1
EdgeCam_2,0.556,0,1,1
EdgeCam_3,0.822,0,1,0
EdgeCam_2,0.405,0,1,1
EdgeCam_4,0.095,1,0,0
EdgeCam_1,0.886,0,1,1
EdgeCam_5,0.554,0,1,1
EdgeCam_5,0.632,0,0,0
EdgeCam_2,0.846,0,1,0
EdgeCam_2,0.771,1,1,1
EdgeCam_4,0.643,1,1,1
EdgeCam_4,0.241,1,0,1
EdgeCam_2,0.174,1,1,0
EdgeCam_1,0.629,1,0,1
EdgeCam_3,0.257,1,1,0
EdgeCam_5,0.759,0,1,0
EdgeCam_5,0.197,1,1,0
EdgeCam_5,0.811,1,0,0
EdgeCam_5,0.502,1,1,0
EdgeCam_4,0.059,0,1,1
EdgeCam_3,0.502,0,1,0
EdgeCam_1,0.764,1,1,1
EdgeCam_1,0.941,0,0,1
EdgeCam_3,0.212,0,0,0
EdgeCam_2,0.58,1,0,1
EdgeCam_4,0.689,0,0,1
EdgeCam_3,0.498,1,1,1
EdgeCam_4,0.869,0,1,0
EdgeCam_2,0.93,0,0,1
EdgeCam_5,0.513,1,1,0
EdgeCam_2,0.318,0,0,0
EdgeCam_5,0.432,1,0,0
EdgeCam_3,0.056,1,0,0
EdgeCam_1,0.423,0,0,1
EdgeCam_5,0.669,0,1,0
EdgeCam_1,0.466,0,1,0
EdgeCam_4,0.258,1,1,1
EdgeCam_5,0.106,1,0,0
EdgeCam_1,0.558,1,1,0
EdgeCam_4,0.334,0,0,1
EdgeCam_2,0.175,1,0,0
EdgeCam_5,0.844,1,1,1
EdgeCam_2,0.638,1,0,0
EdgeCam_3,0.989,0,0,1
EdgeCam_1,0.834,1,0,1
EdgeCam_4,0.458,1,1,1
EdgeCam_2,0.119,0,0,0
EdgeCam_5,0.875,0,1,0
EdgeCam_1,0.256,1,0,0
EdgeCam_1,0.016,0,0,0
EdgeCam_3,0.182,0,1,0
EdgeCam_1,0.241,1,0,1
EdgeCam_5,0.564,0,1,1
EdgeCam_4,0.578,1,0,0
EdgeCam_1,0.295,0,0,1
EdgeCam_4,0.044,0,0,0
EdgeCam_5,0.767,1,0,0
EdgeCam_4,0.575,0,0,0
EdgeCam_2,0.382,1,1,1
EdgeCam_2,0.615,1,1,0
EdgeCam_1,0.87,0,0,0
EdgeCam_5,0.372,1,1,0
EdgeCam_2,0.048,1,0,0
EdgeCam_1,0.415,0,0,1
EdgeCam_5,0.781,1,1,1
EdgeCam_4,0.847,0,1,1
EdgeCam_3,0.663,0,1,1
EdgeCam_3,1.0,0,1,0
EdgeCam_4,0.976,0,1,1
EdgeCam_2,0.55,0,1,0
EdgeCam_2,0.041,1,1,1
EdgeCam_5,0.142,0,0,1
EdgeCam_2,0.508,0,0,0
EdgeCam_4,0.88,1,1,0
EdgeCam_3,0.861,1,0,0
EdgeCam_2,0.817,0,1,0
EdgeCam_1,0.394,1,1,0
EdgeCam_1,0.131,1,0,0
EdgeCam_4,0.205,1,1,1
EdgeCam_1,0.689,0,1,0
EdgeCam_1,0.781,1,0,1
EdgeCam_2,0.635,1,0,0
EdgeCam_4,0.829,0,0,1
EdgeCam_4,0.579,0,0,1
EdgeCam_4,0.841,1,1,1
